Feature,Signal_0.03%,Signal_99.7%,Background_0.03%,Background_99.7%,Combined_0.03%,Combined_99.7%
charge_1,-1.0,1.0,-1.0,1.0,-1.0,1.0
charge_2,-1.0,1.0,-1.0,1.0,-1.0,1.0
charge_3,-1.0,1.0,-1.0,1.0,-1.0,1.0
pt_1,20.026480179405212,848.5538031005881,19.956313836097717,330.50487686157345,19.96186427307129,613.9049957275383
pt_2,19.99170723133087,706.5254927368164,19.943529227256775,265.5424060058613,19.946615203857423,509.75764465331997
pt_3,26.03063956336975,580.3224381713878,26.022779653549193,336.29367263794023,26.02424811553955,447.6656500244139
pt_MET,2.442888073635101,670.0440352783238,1.6754748063087463,389.93454254150436,1.7118784742355346,497.93897720336855
eta_1,-2.46649208984375,2.3619594726562507,-2.4574443359375,2.323842773437505,-2.458961181640625,2.3382397460937483
eta_2,-2.48779296875,2.4267578125,-2.473614013671875,2.387319335937505,-2.482421875,2.40380859375
eta_3,-2.09423828125,2.0562954101562507,-2.095703125,2.05712890625,-2.095307861328125,2.05712890625
mass_1,0.1395263671875,1.9148027343750087,0.1395263671875,1.6376953125,0.1395263671875,1.6962890625
mass_2,0.1395263671875,3.126244140625026,0.1395263671875,1.9097802734375051,0.1395263671875,2.20703125
mass_3,0.105712890625,0.105712890625,0.105712890625,0.105712890625,0.105712890625,0.105712890625
deltaphi_12,0.0028737060546875,3.136901857376099,0.0012301025390624998,3.131732635498047,0.001906616210937499,3.1337890625
deltaphi_13,0.0049590087890625,3.1367494459152225,0.001953125,3.1358575201034546,0.001953125,3.1360905170440674
deltaphi_23,0.0024616210937499997,3.1335449917316436,0.00244140625,3.135215463638306,0.0024181518554687496,3.1349877846240997
deltaphi_1MET,0.0011647216796875,3.1378480787277225,0.000732421875,3.1327946186065674,0.0008544921875,3.1347477436065674
deltaphi_2MET,0.000732421875,3.1350187091827393,0.0006103515625,3.132266224622727,0.0006103515625,3.1334660053253174
deltaphi_3MET,0.000244140625,3.131419358015061,0.000732421875,3.1320367705821996,0.00048828125,3.1318180561065674
deltaphi_1(23),0.004650178790092468,3.1399991059303285,0.0014420384168624878,3.1355539917945863,0.0015296595096588135,3.137715902328491
deltaphi_2(13),0.008784508538246154,3.1397985091209413,0.0013997023105621338,3.135561263561249,0.0015954155921936032,3.1377834272384644
deltaphi_3(12),0.009485497498512267,3.1396215600967405,0.00228161096572876,3.136384723186493,0.002523228645324707,3.13768434047699
deltaphi_MET(12),0.0019958048820495605,3.139035840034485,0.0004653217792510986,3.132706928253174,0.0006254396438598632,3.136033935546875
deltaphi_MET(13),0.0009555861949920654,3.1380743055343627,0.0006759647130966186,3.1321841526031493,0.0007334549427032471,3.1352144002914426
deltaphi_MET(23),0.0011623847246170045,3.1367461729049686,0.0006955602169036864,3.132133197784424,0.0007553894519805908,3.134054901599884
deltaphi_1(2MET),0.0034649734497070313,3.1389787597656253,0.0010886929035186768,3.1335499262809754,0.0012728252410888672,3.135913133621216
deltaphi_1(3MET),0.002588358068466186,3.138343144416809,0.0007675433158874512,3.1338939809799196,0.0008224636316299437,3.1356740140914914
deltaphi_2(1MET),0.002787567138671875,3.1376640129089357,0.0008015908002853393,3.1324099087715154,0.0008927973508834838,3.1349302172660827
deltaphi_2(3MET),0.0017450310945510863,3.1368427386283875,0.0009690120220184324,3.13490170955658,0.0011210778951644897,3.135418314933777
deltaphi_3(1MET),0.0026035899162292478,3.1379806602001192,0.0011767562627792358,3.1338433849811556,0.0013508790731430052,3.1353053283691406
deltaphi_3(2MET),0.0019614210367202758,3.1354441719055175,0.0011351842880249023,3.1339203810691836,0.0013598936796188354,3.134188904762268
deltaeta_12,0.0003662109375,3.5068483886718775,0.00048828125,3.2408911132812577,0.00048828125,3.3317407226562494
deltaeta_13,0.000657391357421875,3.187613525390627,0.0005223236083984374,3.206899414062505,0.0006103515625,3.196196289062499
deltaeta_23,0.0003897308349609375,3.409781494140627,0.00048828125,3.3698535156250102,0.00048828125,3.385893554687499
deltaeta_1(23),0.0007924261227250099,4.463088183403025,0.00024038463458418845,3.974788649082184,0.00042201733589172357,4.106012725830075
deltaeta_2(13),0.0004435207307338714,4.5054202351570245,0.0005367099232971668,4.172069253921526,0.0004828373193740845,4.244230914115906
deltaeta_3(12),0.00027719646692275996,4.383760091781623,0.0004015709161758423,4.060064778327945,0.00034378761053085316,4.141802713870996
deltaR_12,0.5046171943128109,4.297303420066839,0.5015506713688374,4.000423372983938,0.501883599460125,4.091660616397857
