,train_loss,val_loss,l2sum,deltaphi,deltaeta,deltaR,mt,norm_mt,mass,pt,eta,phi,px,py,pz,energy
0,9518.78977671875,7805.462890625,0.10492445321870036,1.1711878776550293,1.051251769065857,1.4478199481964111,1929.283447265625,0.028731543570756912,5276.83447265625,2171.8916015625,2.7849905490875244,3.3380038738250732,5499.3671875,5737.98779296875,62316.6796875,18529.15234375
1,8847.6351346875,7480.251953125,0.10544028825097485,1.1111403703689575,0.9410078525543213,1.328736424446106,2127.413330078125,0.0003336345253046602,5115.88720703125,2518.531005859375,2.65883207321167,3.3051719665527344,5498.12109375,5734.79052734375,62311.39453125,13927.796875
2,8529.05454640625,7293.4970703125,0.12504829245517612,1.0103142261505127,0.8405060172080994,1.1235907077789307,2306.4072265625,0.0004326698835939169,4990.81591796875,2741.35107421875,2.6446330547332764,3.3105926513671875,5496.1240234375,5736.15087890625,62269.3984375,11266.2861328125
3,8474.1639953125,7282.1318359375,0.13366371689699008,0.9038587212562561,0.7912021279335022,0.9425339102745056,2299.059326171875,0.0011277026496827602,4955.77587890625,2730.533447265625,2.64567232131958,3.3089120388031006,5495.42431640625,5736.00244140625,62268.8359375,11173.49609375
4,8464.089856875,7274.0908203125,0.13998694904876174,0.8260040879249573,0.7703716158866882,0.795657217502594,2304.180419921875,0.0009976698784157634,4988.2470703125,2730.3203125,2.646468162536621,3.3026511669158936,5495.50048828125,5735.83154296875,62269.4296875,11031.3330078125
5,8458.00953828125,7270.21826171875,0.14775727837331942,0.7706990838050842,0.7670278549194336,0.7133826017379761,2306.389404296875,0.0007706564501859248,4986.02392578125,2733.47021484375,2.6466751098632812,3.3030896186828613,5495.57470703125,5735.8994140625,62266.49609375,10980.7880859375
6,8451.81437859375,7266.7861328125,0.15721720300643938,0.7531968951225281,0.7689802050590515,0.6928530931472778,2299.025634765625,0.0007809038506820798,4956.994140625,2717.698486328125,2.6457183361053467,3.3022830486297607,5495.986328125,5735.927734375,62265.82421875,10988.60546875
7,7042.383486328125,3398.322509765625,0.17813904838112649,1.8719569444656372,1.8633769750595093,1.4888098239898682,2141.416748046875,0.5681177973747253,3844.682373046875,2262.501220703125,1.874094843864441,4.531275749206543,5482.75341796875,5775.61083984375,14342.2646484375,10316.767578125
8,3261.703404375,2845.6064453125,0.21403401498537278,1.1128969192504883,1.3800777196884155,1.2226321697235107,2359.582275390625,0.5189024209976196,4668.67919921875,2347.82470703125,1.620467185974121,3.832751750946045,5487.52734375,5743.587890625,9612.931640625,6763.068359375
9,2991.960054296875,2824.91796875,0.23862417221971555,1.0271062850952148,0.960965096950531,0.924211323261261,2359.39599609375,0.4920765459537506,4614.32373046875,2306.931884765625,1.54251229763031,3.743877410888672,5491.689453125,5750.5947265625,9486.9814453125,6705.326171875
10,2874.63513109375,2621.35498046875,0.2627961399994092,1.1396865844726562,1.002636194229126,1.1418631076812744,2325.73388671875,0.277482807636261,4751.14208984375,2392.65869140625,1.581953763961792,3.5556652545928955,5457.01953125,5758.95849609375,8182.34228515625,5201.05859375
11,2724.167433125,2595.69970703125,0.29025150261441013,1.2072632312774658,1.3833858966827393,1.5427602529525757,2303.3017578125,0.29201388359069824,4646.6201171875,2375.01416015625,1.763383150100708,3.5851197242736816,5482.85546875,5759.6201171875,8064.65673828125,5102.255859375
12,2670.4119577734373,2635.892333984375,0.31648733464680845,1.2715157270431519,1.2924212217330933,1.5090917348861694,2286.763916015625,0.163447767496109,4837.4580078125,2499.601806640625,1.6300817728042603,3.9758455753326416,5488.36474609375,5757.81298828125,8670.990234375,4715.77001953125
13,2535.5426826953126,2472.07958984375,0.3461263084318489,1.2496325969696045,1.5920889377593994,1.3285924196243286,2280.345703125,0.28447598218917847,4735.119140625,2471.3349609375,1.3510266542434692,3.973334550857544,5504.89892578125,5770.44775390625,7235.19287109375,4129.916015625
14,2418.0895423046877,2216.851318359375,0.3808381636918057,1.7114771604537964,2.775420665740967,2.918783187866211,2257.056396484375,0.3920040428638458,4551.63671875,2472.243408203125,1.3264186382293701,3.994370460510254,5499.45654296875,5767.04736328125,5345.92333984375,2912.587158203125
15,2380.1957925,2164.547119140625,0.41629168059444055,1.0700621604919434,1.8837804794311523,1.9888008832931519,2172.070556640625,0.2486787587404251,4299.35107421875,2256.349853515625,1.512708306312561,3.853671073913574,5488.60986328125,5756.74755859375,5350.99072265625,2804.43701171875
16,2344.605964140625,2329.8359375,0.4533748789690435,1.193556785583496,1.9694039821624756,1.8148632049560547,2272.813720703125,0.19667108356952667,4507.3388671875,2505.61572265625,1.3783092498779297,3.692586660385132,5511.66748046875,5746.9638671875,6290.7763671875,3442.447021484375
17,2305.6050770703123,2188.614501953125,0.490915479575051,1.0449254512786865,1.7025163173675537,2.2852120399475098,2110.485595703125,0.18225590884685516,4117.19921875,2330.536865234375,1.6806285381317139,3.920851230621338,5503.931640625,5743.12353515625,5548.38671875,3087.509521484375
18,2317.7218665234377,2112.511962890625,0.5279705480934354,1.1572502851486206,1.65184485912323,1.341285228729248,2163.26953125,0.24219046533107758,4363.75537109375,2392.568359375,1.2639315128326416,3.7885615825653076,5502.6083984375,5748.66552734375,4595.88916015625,2686.451904296875
19,2289.5225666015626,2234.93798828125,0.5676405817939667,1.145715355873108,1.466456651687622,1.2747340202331543,2190.85986328125,0.25188982486724854,4318.259765625,2355.930419921875,1.196030855178833,3.928772449493408,5518.046875,5747.5751953125,5441.9638671875,3472.297119140625
20,2262.503609921875,2170.960693359375,0.609904807060957,1.2748018503189087,1.327694058418274,1.5709292888641357,2116.444091796875,0.23235242068767548,4100.0546875,2262.994873046875,1.2333978414535522,3.716815710067749,5524.83251953125,5753.419921875,5422.3076171875,3033.08203125
21,2301.8122819140626,1994.256591796875,0.6527331700926879,1.0808744430541992,1.2798429727554321,1.4051814079284668,2092.633544921875,0.31835901737213135,4117.84521484375,2314.784423828125,1.367152452468872,3.756169557571411,5538.67333984375,5735.04052734375,3659.337158203125,2457.8154296875
22,2276.044826796875,2105.78173828125,0.6961889570229687,1.3629697561264038,1.5999324321746826,1.3187015056610107,2206.30712890625,0.32887446880340576,4111.7412109375,2398.5517578125,1.3134087324142456,4.062321662902832,5508.3271484375,5768.25048828125,4455.857421875,2916.139892578125
23,2217.4205219140626,1978.10009765625,0.7393631591403391,1.195263385772705,1.5049192905426025,1.2200379371643066,2141.2705078125,0.33321693539619446,3904.693359375,2326.7080078125,1.2074960470199585,3.7521674633026123,5544.64501953125,5750.54296875,3688.390380859375,2349.838623046875
24,2193.3802078125,2010.672607421875,0.7798810301028425,1.0153759717941284,1.2314403057098389,1.0921986103057861,2153.486083984375,0.23994480073451996,3999.24560546875,2246.005859375,0.9782758355140686,3.7373664379119873,5527.732421875,5756.634765625,3894.713134765625,2552.63330078125
25,2291.2058709375,2021.3316650390625,0.8170450897596311,1.4251140356063843,1.3430660963058472,1.1994929313659668,2139.156982421875,0.5745581388473511,4095.01953125,2247.2548828125,1.3308430910110474,3.8479185104370117,5532.73974609375,5763.29443359375,3845.0361328125,2645.089599609375
26,2224.0711484765625,1983.0157470703125,0.854534220910864,1.084094524383545,1.185500979423523,0.9678926467895508,2052.552734375,0.2876611351966858,3777.430419921875,2168.89892578125,1.0437233448028564,3.74290132522583,5512.2880859375,5759.50537109375,3927.12890625,2573.09033203125
27,2165.105176953125,2084.84521484375,0.878534579416737,1.2398672103881836,1.5205174684524536,1.177754282951355,2116.744873046875,0.3836725354194641,3870.886474609375,2247.67041015625,1.2097160816192627,3.7598841190338135,5526.52587890625,5743.49609375,4575.140625,3013.233154296875
28,2191.998312890625,1875.6246337890625,0.8866218014445622,1.8872239589691162,1.712162733078003,1.413253903388977,1972.2796630859375,0.5493034720420837,3334.7646484375,1948.9151611328125,1.80836021900177,4.093044281005859,5478.1220703125,5767.875,3455.898193359375,2413.801025390625
29,1944.2476133984376,1898.3155517578125,0.8634748099721037,1.7045619487762451,1.4282647371292114,1.3220455646514893,1979.385009765625,0.3881998360157013,3071.4462890625,1944.9390869140625,1.708432674407959,4.204720973968506,5508.61376953125,5779.92626953125,3720.76904296875,2662.267822265625
30,1894.1838755859376,1924.799072265625,0.8579738093249034,1.3178598880767822,1.4061250686645508,1.1613057851791382,1935.0242919921875,0.283006876707077,3133.752685546875,1949.3045654296875,1.558472752571106,3.977750778198242,5504.50439453125,5737.943359375,3671.16748046875,3080.98876953125
31,1873.1455721875,1701.76708984375,0.8610544686962385,1.3365346193313599,1.0088152885437012,1.0095360279083252,1914.4970703125,0.2373831570148468,2991.619873046875,1911.433837890625,1.1149818897247314,3.853083610534668,5496.17724609375,5763.29052734375,2356.93408203125,1680.45849609375
32,1855.832205078125,1840.548828125,0.8649380726565141,1.3882642984390259,1.054685115814209,0.9473893046379089,1893.6826171875,0.2345820963382721,3044.291259765625,1924.32666015625,1.1783865690231323,3.741720676422119,5491.3896484375,5764.00537109375,3122.587646484375,2678.306396484375
33,1838.255313984375,1835.5455322265625,0.8690069186559413,1.2469713687896729,1.1173808574676514,1.1533828973770142,1916.283447265625,0.20641562342643738,3211.4130859375,1930.345458984375,1.4144854545593262,3.7510838508605957,5517.09814453125,5747.6298828125,3251.2724609375,2279.16064453125
34,1887.4887032421875,1700.3404541015625,0.873255054350011,1.1214604377746582,0.8647098541259766,0.8905216455459595,1887.1104736328125,0.15141020715236664,2806.686279296875,1934.6287841796875,1.0990451574325562,3.5860750675201416,5497.5927734375,5745.88037109375,2424.1142578125,1800.6990966796875
35,1809.4624441796875,1733.3048095703125,0.8793260129459668,1.1097445487976074,0.960196852684021,0.877937912940979,1870.1329345703125,0.1395125836133957,2680.509521484375,1903.264892578125,1.0389816761016846,3.6237435340881348,5519.59814453125,5743.71533203125,2849.56494140625,1958.427001953125
36,1814.070150078125,1805.3638916015625,0.8857862015429419,1.0962960720062256,1.1324524879455566,0.939551591873169,1896.573974609375,0.16109015047550201,2901.66015625,1950.7347412109375,1.140296459197998,3.7397382259368896,5504.6826171875,5753.51611328125,3126.34912109375,2328.003662109375
